Date,"GBP/USD(Open, Ask)","GBP/USD(High, Ask)","GBP/USD(Low, Ask)","GBP/USD(Close, Ask)","GBP/USD(Open, Bid)*","GBP/USD(High, Bid)*","GBP/USD(Low, Bid)*","GBP/USD(Close, Bid)*","HISTORICAL SSI(GBP/USD, SSI).SSI"
25/04/1997 00:00:00,1.62385,1.62995,1.61745,1.62635,1.62345,1.62955,1.61705,1.62595,
24/04/1997 00:00:00,1.63425,1.63675,1.62025,1.62385,1.63385,1.63635,1.61985,1.62345,
23/04/1997 00:00:00,1.63595,1.64005,1.63205,1.63425,1.63555,1.63965,1.63165,1.63385,
22/04/1997 00:00:00,1.63275,1.63905,1.63145,1.63595,1.63235,1.63865,1.63105,1.63555,
18/04/1997 00:00:00,1.62555,1.63385,1.62365,1.63105,1.62515,1.63345,1.62325,1.63065,
17/04/1997 00:00:00,1.62915,1.62955,1.61955,1.62555,1.62875,1.62915,1.61915,1.62515,
16/04/1997 00:00:00,1.62045,1.63195,1.61975,1.62915,1.62005,1.63155,1.61935,1.62875,
15/04/1997 00:00:00,1.62985,1.63315,1.62025,1.62045,1.62945,1.63275,1.61985,1.62005,
11/04/1997 00:00:00,1.62045,1.62615,1.61965,1.62395,1.62005,1.62575,1.61925,1.62355,
10/04/1997 00:00:00,1.62595,1.62805,1.61795,1.62045,1.62555,1.62765,1.61755,1.62005,
09/04/1997 00:00:00,1.62715,1.62925,1.61995,1.62595,1.62675,1.62885,1.61955,1.62555,
08/04/1997 00:00:00,1.63305,1.63595,1.62395,1.62715,1.63265,1.63555,1.62355,1.62675,
04/04/1997 00:00:00,1.64325,1.64785,1.63795,1.64595,1.64285,1.64745,1.63755,1.64555,
03/04/1997 00:00:00,1.65175,1.65335,1.64145,1.64325,1.65135,1.65295,1.64105,1.64285,
02/04/1997 00:00:00,1.63795,1.65535,1.63785,1.65175,1.63755,1.65495,1.63745,1.65135,
01/04/1997 00:00:00,1.63045,1.64785,1.62985,1.63795,1.63005,1.64745,1.62945,1.63755,
28/03/1997 00:00:00,1.62985,1.63495,1.62605,1.63395,1.62945,1.63455,1.62565,1.63355,
27/03/1997 00:00:00,1.61955,1.63115,1.61595,1.62985,1.61915,1.63075,1.61555,1.62945,
26/03/1997 00:00:00,1.61885,1.62185,1.61525,1.61955,1.61845,1.62145,1.61485,1.61915,
25/03/1997 00:00:00,1.60465,1.62135,1.60225,1.61885,1.60425,1.62095,1.60185,1.61845,
21/03/1997 00:00:00,1.59875,1.60345,1.59265,1.59305,1.59835,1.60305,1.59225,1.59265,
20/03/1997 00:00:00,1.59045,1.60095,1.58995,1.59875,1.59005,1.60055,1.58955,1.59835,
19/03/1997 00:00:00,1.58875,1.59265,1.58605,1.59045,1.58835,1.59225,1.58565,1.59005,
18/03/1997 00:00:00,1.60305,1.60345,1.58665,1.58875,1.60265,1.60305,1.58625,1.58835,
14/03/1997 00:00:00,1.59885,1.60645,1.59565,1.59615,1.59845,1.60605,1.59525,1.59575,
13/03/1997 00:00:00,1.60875,1.60995,1.58905,1.59885,1.60835,1.60955,1.58865,1.59845,
12/03/1997 00:00:00,1.60465,1.60995,1.60095,1.60875,1.60425,1.60955,1.60055,1.60835,
11/03/1997 00:00:00,1.60255,1.60685,1.59575,1.60465,1.60215,1.60645,1.59535,1.60425,
07/03/1997 00:00:00,1.61495,1.61625,1.60945,1.61595,1.61455,1.61585,1.60905,1.61555,
06/03/1997 00:00:00,1.61495,1.61685,1.60815,1.61495,1.61455,1.61645,1.60775,1.61455,
05/03/1997 00:00:00,1.61735,1.61975,1.61205,1.61495,1.61695,1.61935,1.61165,1.61455,
04/03/1997 00:00:00,1.62765,1.63045,1.61445,1.61735,1.62725,1.63005,1.61405,1.61695,
28/02/1997 00:00:00,1.63445,1.63535,1.62375,1.62555,1.63405,1.63495,1.62335,1.62515,
27/02/1997 00:00:00,1.63555,1.64225,1.63025,1.63445,1.63515,1.64185,1.62985,1.63405,
26/02/1997 00:00:00,1.63385,1.63895,1.62995,1.63555,1.63345,1.63855,1.62955,1.63515,
25/02/1997 00:00:00,1.62095,1.63645,1.62065,1.63385,1.62055,1.63605,1.62025,1.63345,
21/02/1997 00:00:00,1.61695,1.62005,1.60605,1.61395,1.61655,1.61965,1.60565,1.61355,
20/02/1997 00:00:00,1.60795,1.61885,1.60515,1.61695,1.60755,1.61845,1.60475,1.61655,
19/02/1997 00:00:00,1.61645,1.61845,1.59935,1.60795,1.61605,1.61805,1.59895,1.60755,
18/02/1997 00:00:00,1.62065,1.62305,1.61365,1.61645,1.62025,1.62265,1.61325,1.61605,
14/02/1997 00:00:00,1.63275,1.63665,1.62015,1.62385,1.63235,1.63625,1.61975,1.62345,
13/02/1997 00:00:00,1.63705,1.64435,1.62885,1.63275,1.63665,1.64395,1.62845,1.63235,
12/02/1997 00:00:00,1.64095,1.64545,1.63355,1.63705,1.64055,1.64505,1.63315,1.63665,
11/02/1997 00:00:00,1.63695,1.64325,1.62595,1.64095,1.63655,1.64285,1.62555,1.64055,
07/02/1997 00:00:00,1.64425,1.64675,1.63145,1.63715,1.64385,1.64635,1.63105,1.63675,
06/02/1997 00:00:00,1.62125,1.64575,1.62045,1.64425,1.62085,1.64535,1.62005,1.64385,
05/02/1997 00:00:00,1.61915,1.62715,1.61705,1.62125,1.61875,1.62675,1.61665,1.62085,
04/02/1997 00:00:00,1.59875,1.62255,1.59605,1.61915,1.59835,1.62215,1.59565,1.61875,
31/01/1997 00:00:00,1.61775,1.62745,1.60745,1.61425,1.61735,1.62705,1.60705,1.61385,
30/01/1997 00:00:00,1.62035,1.62805,1.61045,1.61775,1.61995,1.62765,1.61005,1.61735,
29/01/1997 00:00:00,1.62175,1.62295,1.60455,1.62035,1.62135,1.62255,1.60415,1.61995,
28/01/1997 00:00:00,1.62895,1.63145,1.62025,1.62175,1.62855,1.63105,1.61985,1.62135,
24/01/1997 00:00:00,1.63645,1.63845,1.61975,1.63205,1.63605,1.63805,1.61935,1.63165,
23/01/1997 00:00:00,1.66485,1.66625,1.63025,1.63645,1.66445,1.66585,1.62985,1.63605,
22/01/1997 00:00:00,1.66615,1.66995,1.66155,1.66485,1.66575,1.66955,1.66115,1.66445,
21/01/1997 00:00:00,1.66885,1.67095,1.65815,1.66615,1.66845,1.67055,1.65775,1.66575,
17/01/1997 00:00:00,1.68345,1.68435,1.67305,1.67895,1.68305,1.68395,1.67265,1.67855,
16/01/1997 00:00:00,1.67055,1.68505,1.66945,1.68345,1.67015,1.68465,1.66905,1.68305,
15/01/1997 00:00:00,1.67575,1.67575,1.66575,1.67055,1.67535,1.67535,1.66535,1.67015,
14/01/1997 00:00:00,1.67875,1.68345,1.66645,1.67575,1.67835,1.68305,1.66605,1.67535,
10/01/1997 00:00:00,1.68855,1.70115,1.68775,1.69945,1.68815,1.70075,1.68735,1.69905,
09/01/1997 00:00:00,1.69465,1.69725,1.68465,1.68855,1.69425,1.69685,1.68425,1.68815,
08/01/1997 00:00:00,1.69685,1.69735,1.69255,1.69465,1.69645,1.69695,1.69215,1.69425,
07/01/1997 00:00:00,1.68805,1.69725,1.67995,1.69685,1.68765,1.69685,1.67955,1.69645,
03/01/1997 00:00:00,1.71105,1.71365,1.68395,1.69415,1.71065,1.71325,1.68355,1.69375,
