Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*","HISTORICAL SSI(AUD/USD, SSI).SSI"
19/02/2015 16:00:00,0.77873,0.78133,0.77783,0.77939,0.77857,0.78117,0.77766,0.77919,1.4888
19/02/2015 12:00:00,0.77599,0.78025,0.77585,0.77873,0.77584,0.78007,0.77570,0.77857,1.5048
19/02/2015 08:00:00,0.78126,0.78129,0.77578,0.77599,0.78107,0.78111,0.77561,0.77584,1.5434
19/02/2015 04:00:00,0.78224,0.78443,0.77867,0.78126,0.78205,0.78424,0.77849,0.78107,1.4502
19/02/2015 00:00:00,0.78117,0.78265,0.78057,0.78224,0.78086,0.78248,0.78008,0.78205,1.3992
18/02/2015 20:00:00,0.77830,0.78400,0.77769,0.78117,0.77812,0.78378,0.77751,0.78086,1.4200
18/02/2015 16:00:00,0.77948,0.77958,0.77746,0.77830,0.77930,0.77945,0.77729,0.77812,1.4397
18/02/2015 12:00:00,0.78074,0.78115,0.77864,0.77948,0.78055,0.78096,0.77847,0.77930,1.3640
18/02/2015 08:00:00,0.78229,0.78270,0.78055,0.78074,0.78211,0.78252,0.78039,0.78055,1.3115
18/02/2015 04:00:00,0.78107,0.78327,0.78105,0.78229,0.78092,0.78308,0.78087,0.78211,1.2884
18/02/2015 00:00:00,0.78233,0.78239,0.78059,0.78107,0.78158,0.78208,0.78037,0.78092,1.2995
17/02/2015 20:00:00,0.78208,0.78282,0.78106,0.78233,0.78189,0.78264,0.78089,0.78158,1.2608
17/02/2015 16:00:00,0.78218,0.78250,0.77897,0.78208,0.78201,0.78232,0.77879,0.78189,1.3211
17/02/2015 12:00:00,0.78028,0.78298,0.77945,0.78218,0.78011,0.78280,0.77927,0.78201,1.2812
17/02/2015 08:00:00,0.77990,0.78156,0.77813,0.78028,0.77971,0.78142,0.77793,0.78011,1.3553
17/02/2015 04:00:00,0.77861,0.78103,0.77802,0.77990,0.77844,0.78085,0.77785,0.77971,1.3449
17/02/2015 00:00:00,0.77736,0.77897,0.77434,0.77861,0.77713,0.77879,0.77414,0.77844,1.3574
16/02/2015 20:00:00,0.77649,0.77795,0.77529,0.77736,0.77621,0.77762,0.77505,0.77713,1.3521
16/02/2015 16:00:00,0.77792,0.77833,0.77614,0.77649,0.77772,0.77816,0.77590,0.77621,1.3543
16/02/2015 12:00:00,0.77747,0.77854,0.77744,0.77792,0.77727,0.77837,0.77726,0.77772,1.3646
16/02/2015 08:00:00,0.77855,0.77926,0.77664,0.77747,0.77839,0.77907,0.77645,0.77727,1.3635
16/02/2015 04:00:00,0.77822,0.77956,0.77769,0.77855,0.77805,0.77940,0.77750,0.77839,1.3611
16/02/2015 00:00:00,0.77768,0.77845,0.77587,0.77822,0.77746,0.77826,0.77570,0.77805,1.4115
15/02/2015 20:00:00,0.77732,0.77860,0.77730,0.77768,0.77468,0.77818,0.77468,0.77746,1.4635
13/02/2015 20:00:00,0.77770,0.77805,0.77534,0.77732,0.77753,0.77759,0.77437,0.77468,1.4635
13/02/2015 16:00:00,0.77576,0.77785,0.77538,0.77770,0.77558,0.77767,0.77520,0.77753,1.4340
13/02/2015 12:00:00,0.77406,0.77627,0.77266,0.77576,0.77391,0.77610,0.77246,0.77558,1.4720
13/02/2015 08:00:00,0.77891,0.77901,0.77384,0.77406,0.77871,0.77885,0.77367,0.77391,1.4710
13/02/2015 04:00:00,0.77433,0.77936,0.77406,0.77891,0.77414,0.77920,0.77389,0.77871,1.4281
13/02/2015 00:00:00,0.77362,0.77683,0.77248,0.77433,0.77336,0.77663,0.77225,0.77414,1.5111
12/02/2015 20:00:00,0.77434,0.77552,0.77345,0.77362,0.77418,0.77534,0.77316,0.77336,1.5765
12/02/2015 16:00:00,0.76820,0.77798,0.76720,0.77434,0.76801,0.77790,0.76702,0.77418,1.5723
12/02/2015 12:00:00,0.76889,0.77058,0.76684,0.76820,0.76869,0.77040,0.76668,0.76801,1.8710
12/02/2015 08:00:00,0.76516,0.76947,0.76507,0.76889,0.76497,0.76930,0.76490,0.76869,1.7201
12/02/2015 04:00:00,0.76570,0.76693,0.76486,0.76516,0.76554,0.76677,0.76469,0.76497,2.0570
12/02/2015 00:00:00,0.77233,0.77385,0.76451,0.76570,0.77151,0.77283,0.76433,0.76554,1.9671
11/02/2015 20:00:00,0.77108,0.77263,0.77048,0.77233,0.77089,0.77207,0.77028,0.77151,1.7233
11/02/2015 16:00:00,0.77370,0.77410,0.76948,0.77108,0.77351,0.77392,0.76931,0.77089,1.7007
11/02/2015 12:00:00,0.77671,0.77685,0.77137,0.77370,0.77653,0.77670,0.77119,0.77351,1.6148
11/02/2015 08:00:00,0.77772,0.77834,0.77532,0.77671,0.77754,0.77817,0.77514,0.77653,1.6901
11/02/2015 04:00:00,0.77927,0.77956,0.77638,0.77772,0.77909,0.77944,0.77626,0.77754,1.6622
11/02/2015 00:00:00,0.77715,0.77947,0.77652,0.77927,0.77691,0.77931,0.77632,0.77909,1.6161
10/02/2015 20:00:00,0.77777,0.77797,0.77617,0.77715,0.77761,0.77781,0.77596,0.77691,1.6318
10/02/2015 16:00:00,0.77679,0.77940,0.77482,0.77777,0.77665,0.77921,0.77465,0.77761,1.6142
10/02/2015 12:00:00,0.77684,0.77997,0.77617,0.77679,0.77668,0.77979,0.77598,0.77665,1.5363
10/02/2015 08:00:00,0.78225,0.78320,0.77678,0.77684,0.78206,0.78298,0.77661,0.77668,1.4136
10/02/2015 04:00:00,0.78179,0.78427,0.78138,0.78225,0.78161,0.78409,0.78120,0.78206,1.3330
10/02/2015 00:00:00,0.78031,0.78264,0.77927,0.78179,0.78009,0.78248,0.77906,0.78161,1.3455
09/02/2015 20:00:00,0.78131,0.78285,0.78025,0.78031,0.78112,0.78268,0.78002,0.78009,1.3221
09/02/2015 16:00:00,0.78114,0.78355,0.78082,0.78131,0.78094,0.78337,0.78064,0.78112,1.3092
09/02/2015 12:00:00,0.78035,0.78228,0.77973,0.78114,0.78017,0.78209,0.77956,0.78094,1.3382
09/02/2015 08:00:00,0.77696,0.78036,0.77606,0.78035,0.77679,0.78018,0.77588,0.78017,1.4786
09/02/2015 04:00:00,0.77717,0.77748,0.77592,0.77696,0.77699,0.77729,0.77574,0.77679,1.6131
09/02/2015 00:00:00,0.77628,0.77789,0.77491,0.77717,0.77605,0.77768,0.77471,0.77699,1.6561
08/02/2015 20:00:00,0.78093,0.78093,0.77537,0.77628,0.77829,0.77829,0.77513,0.77605,1.5227
06/02/2015 20:00:00,0.77954,0.78093,0.77793,0.78093,0.77938,0.78062,0.77777,0.77829,1.5227
06/02/2015 16:00:00,0.78308,0.78336,0.77865,0.77954,0.78289,0.78317,0.77847,0.77938,1.4874
06/02/2015 12:00:00,0.78389,0.78784,0.77811,0.78308,0.78372,0.78753,0.77792,0.78289,1.4214
06/02/2015 08:00:00,0.78414,0.78442,0.78200,0.78389,0.78395,0.78424,0.78181,0.78372,1.4448
06/02/2015 04:00:00,0.78291,0.78448,0.78132,0.78414,0.78271,0.78428,0.78110,0.78395,1.4636
06/02/2015 00:00:00,0.77991,0.78629,0.77956,0.78291,0.77967,0.78581,0.77901,0.78271,1.5054
