Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*","MVA(EUR/USD.Open,7)","HISTORICAL SSI(EUR/USD, SSI).SSI"
25/01/2015 20:00:00,1.12085,1.12085,1.11409,1.11568,1.12037,1.12037,1.11373,1.11506,1.1284,-1.2397
23/01/2015 20:00:00,1.12563,1.12586,1.12076,1.12085,1.12548,1.12569,1.12009,1.12037,1.1309,-1.2397
23/01/2015 16:00:00,1.12364,1.12901,1.12111,1.12563,1.12351,1.12885,1.12096,1.12548,1.1353,-1.3397
23/01/2015 12:00:00,1.12344,1.12486,1.11153,1.12364,1.12329,1.12471,1.11137,1.12351,1.1409,-1.2106
23/01/2015 08:00:00,1.13366,1.13573,1.12317,1.12344,1.13354,1.13558,1.12301,1.12329,1.1460,1.0055
23/01/2015 04:00:00,1.13624,1.13702,1.13154,1.13366,1.13612,1.13687,1.13140,1.13354,1.1497,1.0586
23/01/2015 00:00:00,1.13666,1.13748,1.13399,1.13624,1.13642,1.13734,1.13384,1.13612,1.1532,1.0586
22/01/2015 20:00:00,1.13838,1.13929,1.13171,1.13666,1.13821,1.13917,1.13154,1.13642,1.1562,1.0747
22/01/2015 16:00:00,1.15638,1.15679,1.13773,1.13838,1.15621,1.15650,1.13756,1.13821,1.1598,1.1972
22/01/2015 12:00:00,1.16243,1.16733,1.15151,1.15638,1.16229,1.16505,1.15100,1.15621,1.1599,-1.0298
22/01/2015 08:00:00,1.15916,1.16303,1.15763,1.16243,1.15903,1.16287,1.15749,1.16229,1.1592,-1.1174
22/01/2015 04:00:00,1.15988,1.16100,1.15893,1.15916,1.15975,1.16086,1.15881,1.15903,1.1588,-1.1047
22/01/2015 00:00:00,1.16126,1.16305,1.15916,1.15988,1.16072,1.16290,1.15901,1.15975,1.1581,-1.1038
21/01/2015 20:00:00,1.15749,1.16131,1.15627,1.16126,1.15734,1.16109,1.15609,1.16072,1.1572,-1.0509
21/01/2015 16:00:00,1.16336,1.16824,1.15658,1.15749,1.16321,1.16791,1.15641,1.15734,1.1576,1.1762
21/01/2015 12:00:00,1.15714,1.16379,1.15657,1.16336,1.15701,1.16365,1.15644,1.16321,1.1573,-1.1226
21/01/2015 08:00:00,1.15754,1.15892,1.15477,1.15714,1.15741,1.15880,1.15464,1.15701,1.1574,-1.0174
21/01/2015 04:00:00,1.15629,1.15764,1.15594,1.15754,1.15616,1.15750,1.15581,1.15741,1.1577,-1.0097
21/01/2015 00:00:00,1.15511,1.15659,1.15422,1.15629,1.15468,1.15645,1.15408,1.15616,1.1582,1.0094
20/01/2015 20:00:00,1.15481,1.15581,1.15412,1.15511,1.15470,1.15566,1.15398,1.15468,1.1591,1.0180
20/01/2015 16:00:00,1.16050,1.16050,1.15446,1.15481,1.16035,1.16035,1.15433,1.15470,1.1600,1.0086
20/01/2015 12:00:00,1.16064,1.16167,1.15698,1.16050,1.16048,1.16144,1.15686,1.16035,1.1602,-1.0375
20/01/2015 08:00:00,1.15849,1.16100,1.15688,1.16064,1.15836,1.16088,1.15674,1.16048,1.1595,-1.0296
20/01/2015 04:00:00,1.15899,1.15904,1.15753,1.15849,1.15884,1.15891,1.15741,1.15836,1.1593,-1.0629
20/01/2015 00:00:00,1.16058,1.16107,1.15734,1.15899,1.16006,1.16082,1.15722,1.15884,1.1588,-1.0792
19/01/2015 20:00:00,1.16100,1.16177,1.16022,1.16058,1.16078,1.16161,1.16000,1.16006,1.1582,-1.1092
19/01/2015 16:00:00,1.16113,1.16397,1.16009,1.16100,1.16101,1.16384,1.15997,1.16078,1.1573,-1.1244
19/01/2015 12:00:00,1.16169,1.16241,1.15862,1.16113,1.16155,1.16229,1.15847,1.16101,1.1569,-1.0679
19/01/2015 08:00:00,1.15619,1.16291,1.15522,1.16169,1.15606,1.16278,1.15507,1.16155,1.1571,1.0005
19/01/2015 04:00:00,1.15714,1.15748,1.15538,1.15619,1.15699,1.15733,1.15525,1.15606,1.1581,1.1217
19/01/2015 00:00:00,1.15579,1.15750,1.15537,1.15714,1.15512,1.15736,1.15500,1.15699,1.1589,1.1152
18/01/2015 20:00:00,1.15673,1.15673,1.15471,1.15579,1.15576,1.15576,1.15428,1.15512,1.1600,1.1857
16/01/2015 20:00:00,1.15485,1.15901,1.15325,1.15673,1.15470,1.15887,1.15309,1.15576,1.1606,1.1857
16/01/2015 16:00:00,1.15850,1.15867,1.14608,1.15485,1.15839,1.15854,1.14588,1.15470,1.1628,1.2602
16/01/2015 12:00:00,1.16298,1.16361,1.15749,1.15850,1.16284,1.16347,1.15735,1.15839,1.1648,1.2593
16/01/2015 08:00:00,1.16300,1.16498,1.16124,1.16298,1.16287,1.16482,1.16111,1.16284,1.1668,1.1538
16/01/2015 04:00:00,1.16277,1.16472,1.16261,1.16300,1.16265,1.16458,1.16248,1.16287,1.1688,1.2171
16/01/2015 00:00:00,1.16337,1.16404,1.16008,1.16277,1.16290,1.16390,1.15992,1.16265,1.1711,1.2961
15/01/2015 20:00:00,1.16019,1.16379,1.15992,1.16337,1.16004,1.16352,1.15976,1.16290,1.1734,1.3219
15/01/2015 16:00:00,1.16994,1.17045,1.15684,1.16019,1.16985,1.17036,1.15672,1.16004,1.1766,1.4108
15/01/2015 12:00:00,1.17257,1.17754,1.16672,1.16994,1.17224,1.17732,1.16658,1.16985,1.1772,1.2372
15/01/2015 08:00:00,1.17682,1.17871,1.15743,1.17257,1.17671,1.17858,1.15662,1.17224,1.1782,1.3541
15/01/2015 04:00:00,1.17757,1.17884,1.17656,1.17682,1.17745,1.17870,1.17644,1.17671,1.1783,1.2967
15/01/2015 00:00:00,1.17901,1.17939,1.17731,1.17757,1.17870,1.17924,1.17719,1.17745,1.1783,1.2580
14/01/2015 20:00:00,1.17884,1.17933,1.17758,1.17901,1.17872,1.17922,1.17746,1.17870,1.1782,1.2375
14/01/2015 16:00:00,1.18259,1.18405,1.17723,1.17884,1.18248,1.18393,1.17709,1.17872,1.1780,1.2115
14/01/2015 12:00:00,1.17451,1.18470,1.17383,1.18259,1.17438,1.18459,1.17371,1.18248,1.1777,1.1306
14/01/2015 08:00:00,1.17925,1.18120,1.17280,1.17451,1.17912,1.18107,1.17268,1.17438,1.1789,1.3011
14/01/2015 04:00:00,1.17743,1.17954,1.17684,1.17925,1.17731,1.17941,1.17672,1.17912,1.1797,1.3256
14/01/2015 00:00:00,1.17749,1.17831,1.17650,1.17743,1.17718,1.17818,1.17637,1.17731,1.1805,1.3966
13/01/2015 20:00:00,1.17854,1.17888,1.17596,1.17749,1.17841,1.17877,1.17583,1.17718,1.1813,1.3991
13/01/2015 16:00:00,1.17705,1.18004,1.17538,1.17854,1.17693,1.17993,1.17524,1.17841,1.1819,1.3543
