Date,"EUR/USD(Open, Ask)*","EUR/USD(High, Ask)*","EUR/USD(Low, Ask)*","EUR/USD(Close, Ask)*","HISTORICAL SSI(EUR/USD, SSI).SSI"
11/12/2012,1.29415,1.30155,1.29294,1.30071,-2.0409
10/12/2012,1.29286,1.29472,1.28867,1.29415,-1.4930
7/12/2012,1.29695,1.29734,1.28770,1.29286,-1.5109
6/12/2012,1.30670,1.30872,1.29511,1.29695,-1.7277
5/12/2012,1.30967,1.31272,1.30609,1.30670,-2.5103
4/12/2012,1.30535,1.31091,1.30465,1.30967,-3.0067
3/12/2012,1.29875,1.30764,1.29854,1.30535,-2.5811
30/11/2012,1.29792,1.30282,1.29688,1.29875,-2.2530
29/11/2012,1.29556,1.30149,1.29396,1.29792,-2.1562
28/11/2012,1.29439,1.29562,1.28808,1.29556,-1.8453
27/11/2012,1.29729,1.30093,1.29161,1.29439,-1.8319
26/11/2012,1.29789,1.29852,1.29450,1.29729,-2.0282
23/11/2012,1.28855,1.29915,1.28691,1.29789,-2.1408
22/11/2012,1.28305,1.28995,1.28275,1.28855,-1.7080
21/11/2012,1.28186,1.28341,1.27371,1.28305,-1.5217
20/11/2012,1.28143,1.28305,1.27656,1.28186,-1.3411
19/11/2012,1.27438,1.28206,1.27411,1.28143,-1.2878
16/11/2012,1.27821,1.27855,1.26912,1.27438,-1.0595
15/11/2012,1.27358,1.28028,1.27184,1.27821,-1.2274
14/11/2012,1.27053,1.27793,1.27010,1.27358,-1.1106
13/11/2012,1.27094,1.27292,1.26623,1.27053,-1.0151
12/11/2012,1.27163,1.27396,1.26982,1.27094,1.0094
9/11/2012,1.27489,1.27907,1.26907,1.27163,1.0908
8/11/2012,1.27732,1.27819,1.27178,1.27489,-1.0063
7/11/2012,1.28149,1.28770,1.27370,1.27732,-1.0238
6/11/2012,1.27963,1.28272,1.27642,1.28149,-1.0152
5/11/2012,1.28392,1.28432,1.27682,1.27963,1.0087
2/11/2012,1.29432,1.29523,1.28220,1.28392,-1.0115
1/11/2012,1.29599,1.29833,1.29253,1.29432,-1.3622
31/10/2012,1.29599,1.30210,1.29471,1.29599,-1.4252
30/10/2012,1.29045,1.29842,1.28867,1.29599,-1.5589
29/10/2012,1.29422,1.29479,1.28859,1.29045,-1.2551
26/10/2012,1.29333,1.29571,1.28833,1.29422,-1.4036
25/10/2012,1.29745,1.30237,1.29278,1.29333,-1.3679
24/10/2012,1.29861,1.29975,1.29211,1.29745,-1.4904
23/10/2012,1.30590,1.30761,1.29527,1.29861,-1.5087
22/10/2012,1.30236,1.30840,1.30165,1.30590,-1.9028
19/10/2012,1.30679,1.30779,1.30138,1.30236,-1.7465
18/10/2012,1.31203,1.31293,1.30564,1.30679,-2.0511
17/10/2012,1.30554,1.31402,1.30539,1.31203,-2.4170
16/10/2012,1.29502,1.30615,1.29436,1.30554,-2.2183
15/10/2012,1.29555,1.29794,1.28916,1.29502,-1.6414
12/10/2012,1.29272,1.29926,1.29232,1.29555,-1.7718
