Date,"Open, Ask","High, Ask","Low, Ask","Close, Ask","Open, Bid","High, Bid","Low, Bid","Close, Bid",SSI
08/11/2011 00:00:00,1.03808,1.04051,1.02828,1.03938,1.03776,1.04039,1.02809,1.03915,-1.3138
07/11/2011 00:00:00,1.03845,1.04285,1.02771,1.03808,1.03851,1.04254,1.02751,1.03776,-1.2573
04/11/2011 00:00:00,1.04186,1.04406,1.03166,1.03845,1.04160,1.04389,1.03145,1.03851,-1.3048
03/11/2011 00:00:00,1.03492,1.04476,1.02037,1.04186,1.03453,1.04453,1.02020,1.04160,-1.4318
02/11/2011 00:00:00,1.03319,1.04287,1.02816,1.03492,1.03290,1.04268,1.02798,1.03453,-1.0403
01/11/2011 00:00:00,1.05314,1.05678,1.02722,1.03319,1.05293,1.05659,1.02699,1.03290,-1.1364
31/10/2011 00:00:00,1.07118,1.07202,1.05080,1.05314,1.07102,1.07155,1.05057,1.05293,-1.8863
28/10/2011 00:00:00,1.07318,1.07328,1.06567,1.07118,1.07282,1.07312,1.06545,1.07102,-2.5221
27/10/2011 00:00:00,1.04014,1.07541,1.03839,1.07318,1.03971,1.07523,1.03811,1.07282,-2.8193
26/10/2011 00:00:00,1.04301,1.04388,1.03224,1.04014,1.04255,1.04349,1.03201,1.03971,-1.5130
25/10/2011 00:00:00,1.04746,1.04983,1.03983,1.04301,1.04730,1.04962,1.03966,1.04255,-1.7707
24/10/2011 00:00:00,1.03578,1.05017,1.03167,1.04746,1.03552,1.04998,1.03144,1.04730,-1.9590
21/10/2011 00:00:00,1.02361,1.03660,1.02045,1.03578,1.02233,1.03639,1.02023,1.03552,-1.7251
20/10/2011 00:00:00,1.02260,1.03001,1.01487,1.02361,1.02219,1.02982,1.01465,1.02233,-1.4145
19/10/2011 00:00:00,1.02671,1.03545,1.02061,1.02260,1.02609,1.03524,1.02040,1.02219,-1.4282
18/10/2011 00:00:00,1.01589,1.03282,1.01195,1.02671,1.01556,1.03262,1.01173,1.02609,-1.4939
17/10/2011 00:00:00,1.03455,1.03726,1.01498,1.01589,1.03436,1.03707,1.01473,1.01556,-1.1423
14/10/2011 00:00:00,1.01935,1.03455,1.01458,1.03455,1.01899,1.03436,1.01438,1.03436,-1.6703
13/10/2011 00:00:00,1.01605,1.02340,1.01028,1.01935,1.01569,1.02310,1.01007,1.01899,-1.2976
12/10/2011 00:00:00,0.99537,1.02073,0.98667,1.01605,0.99506,1.02057,0.98648,1.01569,-1.3901
11/10/2011 00:00:00,0.99911,1.00068,0.99067,0.99537,0.99849,1.00046,0.99050,0.99506,-1.0499
10/10/2011 00:00:00,0.97882,1.00161,0.97535,0.99911,0.97853,1.00140,0.97491,0.99849,-1.1442
07/10/2011 00:00:00,0.97491,0.98804,0.97296,0.97882,0.97439,0.98786,0.97272,0.97853,1.1619
06/10/2011 00:00:00,0.96604,0.97684,0.96232,0.97491,0.96571,0.97668,0.96211,0.97439,1.1871
05/10/2011 00:00:00,0.95770,0.96654,0.94887,0.96604,0.95691,0.96640,0.94867,0.96571,1.5864
04/10/2011 00:00:00,0.95294,0.95985,0.93886,0.95770,0.95251,0.95960,0.93867,0.95691,1.8467
